University,Country,City,Region,Logo,Link,Type,Size,Faculty_count,International_Students,Students_count,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Latitude,Longitude
University Paris-Saclay,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg,https://www.topuniversities.com/universities/universite-paris-saclay,Public,XL,8010,7649,40050,241,0,0,0,0,0,48.7136514,2.203623225
Baku Engineering University,Azerbaijan,Baku,Asia,https://www.topuniversities.com/sites/default/files/baku-engineering-university_592560cf2aeae70239af55b6_small.jpg,https://www.topuniversities.com/universities/baku-engineering-university,Private,S,225,78,4725,703,0,0,0,0,0,40.47390545,49.72741065
"Ecole normale supérieure, Paris",France,Paris,Europe,https://www.topuniversities.com/sites/default/files/ecole-normale-suprieure-paris_176_small.jpg,https://www.topuniversities.com/universities/ecole-normale-superieure-paris,Public,S,178,374,1958,33,43,0,0,0,0,48.84170715,2.344792313
Université Pierre et Marie Curie (UPMC),France,Paris,Europe,https://www.topuniversities.com/sites/default/files/universit-pierre-et-marie-curie-upmc_487_small.jpg,https://www.topuniversities.com/universities/universite-pierre-et-marie-curie-upmc,Public,XL,4680,8782,42120,141,131,0,0,0,0,48.84730127,2.357595558
Université Paris-Sorbonne (Paris IV),France,Paris,Europe,https://www.topuniversities.com/sites/default/files/universit-paris-sorbonne-paris-iv_484_small.jpg,https://www.topuniversities.com/universities/universite-paris-sorbonne-paris-iv,Public,XL,4680,8782,42120,221,293,0,0,0,0,48.849412,2.3445383
"Université Paris-Dauphine, Université PSL",France,Paris,Europe,https://www.topuniversities.com/sites/default/files/universit-paris-dauphine-universit-psl_592560cf2aeae70239af4c68_small.jpg,https://www.topuniversities.com/universities/universite-paris-dauphine-universite-psl,Public,M,697,2039,8364,356,355,0,0,0,0,48.87284773,2.273727785
Arabian Gulf University,Bahrain,Manama,Asia,https://www.topuniversities.com/sites/default/files/arabian-gulf-university_2501_small.jpg,https://www.topuniversities.com/universities/arabian-gulf-university,Public,S,195,1011,1365,462,412,0,0,0,0,26.2153423,50.57131999
Khazar University,Azerbaijan,Baku,Asia,https://www.topuniversities.com/sites/default/files/khazar-university_592560cf2aeae70239af55b7_small.jpg,https://www.topuniversities.com/universities/khazar-university,Private,S,251,363,2510,703,700,0,0,0,0,40.4081587,49.9371864
Vasyl` Stus Donetsk National University,Ukraine,Vinnytsia,Europe,https://www.topuniversities.com/sites/default/files/vasyl-stus-donetsk-national-university_14120_small.jpg,https://www.topuniversities.com/universities/vasyl-stus-donetsk-national-university,Public,S,403,83,3627,703,800,0,0,0,0,49.22530054,28.42755353
Université Charles-de-Gaulle Lille 3,France,,Europe,https://www.topuniversities.com/sites/default/files/universit-charles-de-gaulle-lille-3_592560cf2aeae70239af4bdd_small.jpg,https://www.topuniversities.com/universities/universite-charles-de-gaulle-lille-3,Public,L,823,1179,18106,703,800,0,0,0,0,50.62857888,3.126588381
Université Lille 2 Droit et Santé,France,Lille,Europe,https://www.topuniversities.com/sites/default/files/universit-lille-2-droit-et-sant_592560cf2aeae70239af4bdc_small.jpg,https://www.topuniversities.com/universities/universite-lille-2-droit-et-sante,Public,L,982,2391,28478,703,800,0,0,0,0,50.61842242,3.076296067
EBS Business School,Germany,Wiesbaden,Europe,https://www.topuniversities.com/sites/default/files/ebs-business-school_203_small.jpg,https://www.topuniversities.com/universities/ebs-business-school,Private,S,770,453,33880,926,958,0,0,0,0,50.17229358,8.036886283
Université Diderot  Paris 7,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/universit-diderot-paris-7_592560cf2aeae70239af4c6c_small.jpg,https://www.topuniversities.com/universities/universite-diderot-paris-7,Public,XL,3755,11387,63835,262,305,295,0,0,0,48.8267429,2.3825999
Tampere University of Technology ,Finland,Tampere,Europe,https://www.topuniversities.com/sites/default/files/tampere-university-of-technology_1269_small.jpg,https://www.topuniversities.com/universities/tampere-university-technology,Public,M,665,526,5320,319,380,366,0,0,0,61.44964205,23.85877462
Sarajevo School of Science and Technology,Bosnia and Herzegovina,Sarajevo,Europe,https://www.topuniversities.com/sites/default/files/university-sarajevo-school-of-science-and-technology_592560e59988f300e2321a9c_small.jpg,https://www.topuniversities.com/universities/sarajevo-school-science-technology,Public,S,59,58,354,0,0,572,0,0,0,43.8238655,18.30856561
Université Paris Descartes,France,Paris ,Europe,https://www.topuniversities.com/sites/default/files/universit-paris-descartes_486_small.jpg,https://www.topuniversities.com/universities/universite-paris-descartes,Public,XL,3755,11387,63835,373,443,572,0,0,0,48.8426229,2.586695
University of Tampere,Finland,Tampere,Europe,https://www.topuniversities.com/sites/default/files/university-of-tampere_592_small.jpg,https://www.topuniversities.com/universities/university-tampere,Public,M,644,475,9660,502,551,606,0,0,0,61.44964205,23.85877462
Université Nice Sophia Antipolis,France,Nice,Europe,https://www.topuniversities.com/sites/default/files/universit-nice-sophia-antipolis_592560cf2aeae70239af4f9d_small.jpg,https://www.topuniversities.com/universities/universite-nice-sophia-antipolis,Public,L,1320,6010,30360,601,602,654,0,0,0,43.5536368,6.9667166
Al Akhawayn University Ifrane,Morocco,Ifranne,Africa,https://www.topuniversities.com/sites/default/files/al-akhawayn-university-ifrane_592560cf2aeae70239af4ee7_small.jpg,https://www.topuniversities.com/universities/al-akhawayn-university-ifrane,Public,S,142,27,1988,0,0,803,0,0,0,33.5391007,-5.106784951
Ochanomizu University,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/ochanomizu-university_592560cf2aeae70239af4c52_small.jpg,https://www.topuniversities.com/universities/ochanomizu-university,Public,S,312,162,2808,703,800,803,0,0,0,35.71874195,139.7311806
"ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica",Costa Rica,San José,Latin America,https://www.topuniversities.com/sites/default/files/-ulacit-universidad-latinoamericana-de-ciencia-y-tecnologa-costa-rica_592560cf2aeae70239af4dbb_small.jpg,https://www.topuniversities.com/universities/ulacit-universidad-latinoamericana-de-ciencia-y-tecnologia-costa-rica,Private,S,218,475,3052,703,0,803,0,0,0,9.941394735,-84.07730509
Université de Cergy-Pontoise,France,Cergy,Europe,https://www.topuniversities.com/sites/default/files/universit-de-cergy-pontoise_592560cf2aeae70239af51d5_small.jpg,https://www.topuniversities.com/universities/universite-de-cergy-pontoise,Public,L,1008,2578,17136,703,800,803,0,0,0,48.90059405,2.069666216
University of Canterbury,New Zealand,Christchurch,Oceania,https://www.topuniversities.com/sites/default/files/university-of-canterbury_97_small.jpg,https://www.topuniversities.com/universities/university-canterbury,Public,L,770,2816,13090,214,214,231,229,0,0,-43.5240781,172.5803074
Università di Padova,Italy,Padua,Europe,https://www.topuniversities.com/sites/default/files/universitdi-padova_480_small.jpg,https://www.topuniversities.com/universities/universita-di-padova,Public,XL,2806,2654,47702,338,296,249,235,0,0,45.4067382,11.87739374
Khalifa University of Science and Technology,United Arab Emirates,Abu Dhabi,Asia,https://www.topuniversities.com/sites/default/files/khalifa-university-of-science-and-technology_592560e19988f300e2320ee2_small.jpg,https://www.topuniversities.com/universities/khalifa-university-science-technology,Public,S,770,652,4620,402,452,315,267,0,0,24.42178207,54.49151229
Università Cattolica del Sacro Cuore,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/universitcattolica-del-sacro-cuore_406_small.jpg,https://www.topuniversities.com/universities/universita-cattolica-del-sacro-cuore,Private,L,3944,1849,23664,492,481,491,500,0,0,45.4618543,9.177056283
William & Mary,United States,Williamsburg,North America,https://www.topuniversities.com/sites/default/files/college-of-william-mary_592560cf2aeae70239af4b08_small.jpg,https://www.topuniversities.com/universities/william-mary,Public,M,814,729,8140,550,551,582,600,0,0,51.4182283,-1.5133854
Al Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,Riyadh,Asia,https://www.topuniversities.com/sites/default/files/al-imam-mohammad-ibn-saud-islamic-university_592560cf2aeae70239af4f14_small.jpg,https://www.topuniversities.com/universities/al-imam-mohammad-ibn-saud-islamic-university,Public,XL,4441,6038,66615,650,754,803,1002,0,0,24.81161981,46.70129938
University de Cergy-Pontoise,France,Cergy,Europe,https://www.topuniversities.com/sites/default/files/universit-de-cergy-pontoise_592560cf2aeae70239af51d5_small.jpg,https://www.topuniversities.com/universities/universite-de-cergy-pontoise,Public,L,1008,2578,17136,0,0,0,1002,0,0,49.0426515,2.083912601
University de Technologie de Compiègne (UTC),France,Compiègne,Europe,https://www.topuniversities.com/sites/default/files/universit-de-technologie-de-compigne-utc_592560cf2aeae70239af4f87_small.jpg,https://www.topuniversities.com/universities/universite-de-technologie-de-compiegne-utc,Public,S,770,475,10010,0,0,0,1002,0,0,49.41576988,2.818500983
University Jean Moulin Lyon 3,France,Lyon,Europe,https://www.topuniversities.com/sites/default/files/universit-jean-moulin-lyon-3_592560cf2aeae70239af4bfb_small.jpg,https://www.topuniversities.com/universities/universite-jean-moulin-lyon-3,Public,L,684,4010,25992,0,0,0,1002,0,0,45.74746641,4.860229642
University Paris-Nanterre,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/universit-paris-ouest-nanterre-la-dfense_489_small.jpg,https://www.topuniversities.com/universities/universite-paris-nanterre,Public,XL,1268,350,32968,0,0,0,1002,0,0,48.9042269,2.213951787
University Sorbonne Nouvelle Paris 3,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/universit-sorbonne-nouvelle-paris-3_14104_small.jpg,https://www.topuniversities.com/universities/universite-sorbonne-nouvelle-paris-3,Public,L,804,5000,12864,0,0,0,1002,0,0,48.83997977,2.353902156
Ecole Polytechnique,France,Palaiseau,Europe,https://www.topuniversities.com/sites/default/files/ecole-polytechnique_592560cf2aeae70239af4b36_small.jpg,https://www.topuniversities.com/universities/ecole-polytechnique,Public,S,633,1248,3165,53,59,65,60,61,0,36.72335905,3.150592082
Sungkyunkwan University(SKKU),South Korea,Suwon,Asia,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg,https://www.topuniversities.com/universities/sungkyunkwan-universityskku,Private,L,3313,3821,23191,106,108,100,95,88,0,37.5870459,126.9906264
CentraleSupélec,France,Saint-Aubin,Europe,https://www.topuniversities.com/sites/default/files/centralesuplec_173_small.jpg,https://www.topuniversities.com/universities/centralesupelec,Public,S,552,1068,7176,164,177,137,140,138,0,49.10301945,6.221761728
National Chiao Tung University,Taiwan,Hsinchu City,Asia,https://www.topuniversities.com/sites/default/files/national-chiao-tung-university_437_small.jpg,https://www.topuniversities.com/universities/national-chiao-tung-university,Public,M,1152,1420,11520,174,207,208,228,240,0,24.78676765,120.9972441
Sciences Po ,France,Dijon,Europe,https://www.topuniversities.com/sites/default/files/sciences-po-_592560cf2aeae70239af4c64_small.jpg,https://www.topuniversities.com/universities/sciences-po,Public,M,1808,4841,10848,220,220,221,243,242,0,48.85389775,2.329021231
ENS Paris-Saclay,France,Cachan,Europe,https://www.topuniversities.com/sites/default/files/ecole-normale-suprieure-de-cachan_1878_small.jpg,https://www.topuniversities.com/universities/ens-paris-saclay,Public,S,289,298,1734,264,330,305,311,291,0,48.7125829,2.165225545
National Yang Ming University,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-yang-ming-university_444_small.jpg,https://www.topuniversities.com/universities/national-yang-ming-university,Public,S,965,237,3860,308,329,292,287,298,0,25.11912,121.51223
University Ulm,Germany,Ulm,Europe,https://www.topuniversities.com/sites/default/files/university-ulm_638_small.jpg,https://www.topuniversities.com/universities/university-ulm,Public,M,1473,1289,10311,347,357,332,341,345,0,48.84170715,2.344792313
MGIMO University,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/moscow-state-institute-of-international-relations-mgimo-university_2156_small.jpg,https://www.topuniversities.com/universities/mgimo-university,Public,M,1739,1517,6956,350,373,355,365,349,0,55.67259515,37.48570887
Pontificia Universidad Católica del Perú,Peru,Lima,Latin America,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-del-per_592560cf2aeae70239af4af0_small.jpg,https://www.topuniversities.com/universities/pontificia-universidad-catolica-del-peru,Private,L,2369,292,26059,482,432,552,473,432,0,-12.0475986,-77.0325514
Vilnius Gediminas Technical University,Lithuania,Vilnius ,Europe,https://www.topuniversities.com/sites/default/files/vilnius-gediminas-technical-university_14346_small.jpg,https://www.topuniversities.com/universities/vilnius-gediminas-technical-university,Public,M,822,1190,8220,703,551,582,589,655,0,54.7219118,25.33661625
Kaohsiung Medical University,Taiwan,Kaohsiung City,Asia,https://www.topuniversities.com/sites/default/files/kaohsiung-medical-university_23018_small.jpg,https://www.topuniversities.com/universities/kaohsiung-medical-university,Private,M,680,492,6800,0,0,0,652,705,0,22.64779025,120.310242
Universidad Autónoma de Chapingo,Mexico,Texcoco,Latin America,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-chapingo_592560cf2aeae70239af5499_small.jpg,https://www.topuniversities.com/universities/universidad-autonoma-de-chapingo,Public,M,1097,475,7679,0,0,0,0,803,0,21.5096385,-104.8176672
Université de Versailles Saint-Quentin-en-Yvelines (UVSQ),France,Versailles,Europe,https://www.topuniversities.com/sites/default/files/universit-de-versailles-saint-quentin-en-yvelines-uvsq_592560cf2aeae70239af4fa3_small.jpg,https://www.topuniversities.com/universities/universite-de-versailles-saint-quentin-en-yvelines-uvsq,Public,L,855,1616,14535,0,0,0,0,803,0,48.79976125,2.141575127
Baylor College of Medicine,United States,Houston,North America,https://www.topuniversities.com/sites/default/files/baylor-college-of-medicine_48_small.jpg,https://www.topuniversities.com/universities/baylor-college-medicine,Private,S,4424,210,57512,921,958,803,1002,1004,0,29.709593,-95.395636
BI Norwegian Business School,Norway,Oslo,Europe,https://www.topuniversities.com/sites/default/files/bi-norwegian-business-school_592560cf2aeae70239af4abb_small.jpg,https://www.topuniversities.com/universities/bi-norwegian-business-school,Private,L,770,475,10010,922,958,803,1002,1004,0,59.94853043,10.76856723
Central European University,Austria,Vienna,Europe,https://www.topuniversities.com/sites/default/files/ceu_onlyletters_logo_2020-04-48x48.jpg,https://www.topuniversities.com/universities/central-european-university,Private,S,770,475,10010,0,0,803,1002,1004,0,48.17337375,16.38784674
Copenhagen Business School,Denmark,Frederiksberg,Europe,https://www.topuniversities.com/sites/default/files/copenhagen-business-school_710_small.jpg,https://www.topuniversities.com/universities/copenhagen-business-school,Public,L,770,475,10010,923,958,803,1002,1004,0,55.67787295,12.52161546
Cranfield University,United Kingdom,Bedford,Europe,https://www.topuniversities.com/sites/default/files/cranfield-university_592560cf2aeae70239af4b15_small.jpg,https://www.topuniversities.com/universities/cranfield-university,Public,S,623,2052,3115,924,958,1003,1002,1004,0,52.07041535,-0.628793205
ESCP Business School - Paris,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/escp-business-school-paris_592560cf2aeae70239af4b44_small.jpg,https://www.topuniversities.com/universities/escp-business-school-paris,Private,S,770,475,10010,0,0,0,1002,1004,0,48.8646999,2.380816452
ESSEC Business School,France,Cergy,Europe,https://www.topuniversities.com/sites/default/files/essec-business-school_198_small.jpg,https://www.topuniversities.com/universities/essec-business-school,Private,M,770,475,10010,925,958,1004,1002,1004,0,1.30283265,103.7876979
Institut polytechnique de Grenoble - Grenoble Institute of Technology,France,Grenoble,Europe,https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-grenoble-grenoble-institute-of-technology_1296_small.jpg,https://www.topuniversities.com/universities/institut-polytechnique-de-grenoble-grenoble-institute-technology,Public,M,440,1739,6600,0,0,1005,1002,1004,0,45.19091676,5.717410769
HEC Paris School of Management,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/hec-paris-school-of-management_257_small.jpg,https://www.topuniversities.com/universities/hec-paris-school-management,Private,S,770,475,10010,927,958,1006,1002,1004,0,48.75724733,2.168786369
IMT Atlantique,France,Nantes,Europe,https://www.topuniversities.com/sites/default/files/imt-atlantique_5a53028cca24f32bec6e7157_small.jpg,https://www.topuniversities.com/universities/imt-atlantique,Public,S,271,722,1626,0,0,0,0,1004,0,48.36077445,-4.571718166
INSEAD,France,Fontainebleau,Europe,https://www.topuniversities.com/sites/default/files/insead_592560cf2aeae70239af4ba8_small.jpg,https://www.topuniversities.com/universities/insead,Private,S,770,475,10010,918,958,1007,1002,1004,0,48.40559665,2.684692802
Karolinska Institutet,Sweden,Stockholm,Europe,https://www.topuniversities.com/sites/default/files/karolinska-institutet_311_small.jpg,https://www.topuniversities.com/universities/karolinska-institutet,Public,M,1730,475,22490,916,958,1009,1002,1004,0,59.3515453,18.0310658
King Abdullah University of Science & Technology (KAUST),Saudi Arabia,Thuwal,Asia,https://www.topuniversities.com/sites/default/files/king-abdullah-university-of-science-technology_2137_small.jpg,https://www.topuniversities.com/universities/king-abdullah-university-science-technology-kaust,Private,S,145,676,1015,928,958,1010,1002,1004,0,22.32237535,39.11736714
London Business School,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-business-school_592560cf2aeae70239af4be5_small.jpg,https://www.topuniversities.com/universities/london-business-school,Public,S,106,1613,1802,919,958,1011,1002,1004,0,51.52639305,-0.161147216
Scuola Normale Superiore,Italy,Pisa,Europe,https://www.topuniversities.com/sites/default/files/scuola-normale-superiore-di-pisa_25824_small.jpg,https://www.topuniversities.com/universities/scuola-normale-superiore,Public,S,150,69,600,0,192,175,204,1004,0,43.7196687,10.40043275
Sant'Anna - Scuola Universitaria Superiore Pisa,Italy,Pisa,Europe,https://www.topuniversities.com/sites/default/files/santanna-scuola-universitaria-superiore-pisa_592560cf2aeae70239af4d74_small.jpg,https://www.topuniversities.com/universities/santanna-scuola-universitaria-superiore-pisa,Public,S,174,131,696,0,192,167,178,1004,0,43.72120645,10.40277517
"St George's, University of London",United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/st-georges-university-of-london_1657_small.jpg,https://www.topuniversities.com/universities/st-georges-university-london,Public,S,381,475,4953,0,0,0,0,1004,0,51.42444955,-0.564256107
Stockholm School of Economics,Sweden,,Europe,https://www.topuniversities.com/sites/default/files/stockholm-school-of-economics_576_small.jpg,https://www.topuniversities.com/universities/stockholm-school-economics,Private,S,770,475,10010,929,958,1012,1002,1004,0,59.34174401,18.05676914
TELECOM Paris,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/telecom-paris_592560cf2aeae70239af543f_small.jpg,https://www.topuniversities.com/universities/telecom-paris,Public,M,770,475,10010,0,0,0,225,1004,0,48.7129116,2.199889304
Bocconi University,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/bocconi-university_592560cf2aeae70239af4abf_small.jpg,https://www.topuniversities.com/universities/bocconi-university,Private,L,837,1942,12555,930,958,1013,1002,1004,0,45.4497194,9.188708672
Université de Technologie de Compiègne (UTC),France,Compiègne,Europe,https://www.topuniversities.com/sites/default/files/universit-de-technologie-de-compigne-utc_592560cf2aeae70239af4f87_small.jpg,https://www.topuniversities.com/universities/universite-de-technologie-de-compiegne-utc,Public,S,770,475,10010,931,958,1014,0,1004,0,49.4155161,2.818559014
"University of California, San Francisco",United States,San Francisco,North America,https://www.topuniversities.com/sites/default/files/university-of-california-san-francisco_90_small.jpg,https://www.topuniversities.com/universities/university-california-san-francisco,Public,S,4482,125,4482,915,958,1015,1002,1004,0,37.7627382,-122.4582741
Prague University of Economics and Business,Czech Republic,Prague,Europe,https://www.topuniversities.com/sites/default/files/prague-university-of-economics-and-business_592560cf2aeae70239af4f4f_small.jpg,https://www.topuniversities.com/universities/prague-university-economics-business,Public,L,468,3322,12636,932,958,1016,1002,1004,0,50.08442445,14.44119414
University of the Arts London,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/university-of-the-arts-london_1646_small.jpg,https://www.topuniversities.com/universities/university-arts-london,Public,L,1326,9838,17238,0,0,0,0,1004,0,51.5176785,-0.116403265
Weizmann Institute of Science,Israel,Rehovot,Asia,https://www.topuniversities.com/sites/default/files/weizmann-institute-of-science_671_small.jpg,https://www.topuniversities.com/universities/weizmann-institute-science,Public,S,770,475,10010,920,958,1017,1002,1004,0,31.9078499,34.81334092
WHU - Otto Beisheim School of Management ,Germany,Vallendar,Europe,https://www.topuniversities.com/sites/default/files/whu-otto-beisheim-school-of-management_321_small.jpg,https://www.topuniversities.com/universities/whu-otto-beisheim-school-management,Private,S,770,475,10010,933,958,1018,1002,1004,0,50.40070025,7.61430229
Massachusetts Institute of Technology (MIT) ,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,Private,M,3065,3730,12260,1,1,1,1,1,1,42.360095,-71.092115
University of Oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,https://www.topuniversities.com/universities/university-oxford,Public,L,6708,8442,20124,6,6,5,4,5,2,51.75498242,-1.254356073
Stanford University,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,https://www.topuniversities.com/universities/stanford-university,Private,L,4725,3879,14175,2,2,2,2,2,3,37.432974,-122.175045
University of Cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,https://www.topuniversities.com/universities/university-cambridge,Public,L,5800,7925,23200,4,5,6,7,7,3,52.20554008,0.113103625
Harvard University,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,https://www.topuniversities.com/universities/harvard-university,Private,L,4646,5877,23230,3,3,3,3,3,5,42.374172,-71.118234
California Institute of Technology (Caltech),United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,https://www.topuniversities.com/universities/california-institute-technology-caltech,Private,S,968,692,1936,5,4,4,5,4,6,34.139181,-118.125567
Imperial College London,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,https://www.topuniversities.com/universities/imperial-college-london,Public,L,8000,11143,40000,9,8,8,9,8,7,51.4987997,-0.1748772
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Public,L,2719,7733,19033,8,10,7,6,6,8,47.376389,8.548056
